code;code2;town;Kanton;code3
03;1;Aeugst am Albis;ZH;261
03;2;Affoltern am Albis;ZH;261
03;3;Bonstetten;ZH;261
03;4;Hausen am Albis;ZH;
03;5;Hedingen;ZH;261
03;6;Kappel am Albis;ZH;
03;7;Knonau;ZH;261
03;8;Maschwanden;ZH;
03;9;Mettmenstetten;ZH;261
03;10;Obfelden;ZH;261
03;11;Ottenbach;ZH;261
03;12;Rifferswil;ZH;
03;13;Stallikon;ZH;261
03;14;Wettswil am Albis;ZH;261
03;21;Adlikon;ZH;
03;22;Benken (ZH);ZH;
03;23;Berg am Irchel;ZH;
03;24;Buch am Irchel;ZH;
03;25;Dachsen;ZH;2939
03;26;Dorf;ZH;
03;27;Feuerthalen;ZH;2939
03;28;Flaach;ZH;
03;29;Flurlingen;ZH;2939
03;30;Andelfingen;ZH;
03;31;Henggart;ZH;230
03;32;Humlikon;ZH;
03;33;Kleinandelfingen;ZH;
03;34;Laufen-Uhwiesen;ZH;2939
03;35;Marthalen;ZH;
03;37;Ossingen;ZH;
03;38;Rheinau;ZH;
03;39;Thalheim an der Thur;ZH;
03;40;Trüllikon;ZH;
03;41;Truttikon;ZH;
03;43;Volken;ZH;
03;51;Bachenbülach;ZH;261
03;52;Bassersdorf;ZH;261
03;53;Bülach;ZH;261
03;54;Dietlikon;ZH;261
03;55;Eglisau;ZH;261
03;56;Embrach;ZH;261
03;57;Freienstein-Teufen;ZH;261
03;58;Glattfelden;ZH;261
03;59;Hochfelden;ZH;261
03;60;Höri;ZH;261
03;61;Hüntwangen;ZH;261
03;62;Kloten;ZH;261
03;63;Lufingen;ZH;261
03;64;Nürensdorf;ZH;261
03;65;Oberembrach;ZH;
03;66;Opfikon;ZH;261
03;67;Rafz;ZH;261
03;68;Rorbas;ZH;261
03;69;Wallisellen;ZH;261
03;70;Wasterkingen;ZH;261
03;71;Wil (ZH);ZH;261
03;72;Winkel;ZH;261
03;81;Bachs;ZH;
03;82;Boppelsen;ZH;261
03;83;Buchs (ZH);ZH;261
03;84;Dällikon;ZH;261
03;85;Dänikon;ZH;261
03;86;Dielsdorf;ZH;261
03;87;Hüttikon;ZH;261
03;88;Neerach;ZH;261
03;89;Niederglatt;ZH;261
03;90;Niederhasli;ZH;261
03;91;Niederweningen;ZH;261
03;92;Oberglatt;ZH;261
03;93;Oberweningen;ZH;261
03;94;Otelfingen;ZH;261
03;95;Regensberg;ZH;261
03;96;Regensdorf;ZH;261
03;97;Rümlang;ZH;261
03;98;Schleinikon;ZH;261
03;99;Schöfflisdorf;ZH;261
03;100;Stadel;ZH;261
03;101;Steinmaur;ZH;261
03;102;Weiach;ZH;261
03;111;Bäretswil;ZH;121
03;112;Bubikon;ZH;261
03;113;Dürnten;ZH;
03;114;Fischenthal;ZH;
03;115;Gossau (ZH);ZH;261
03;116;Grüningen;ZH;261
03;117;Hinwil;ZH;121
03;118;Rüti (ZH);ZH;
03;119;Seegräben;ZH;261
03;120;Wald (ZH);ZH;
03;121;Wetzikon (ZH);ZH;121
03;131;Adliswil;ZH;261
03;135;Kilchberg (ZH);ZH;261
03;136;Langnau am Albis;ZH;261
03;137;Oberrieden;ZH;261
03;138;Richterswil;ZH;261
03;139;Rüschlikon;ZH;261
03;141;Thalwil;ZH;261
03;151;Erlenbach (ZH);ZH;261
03;152;Herrliberg;ZH;261
03;153;Hombrechtikon;ZH;261
03;154;Küsnacht (ZH);ZH;261
03;155;Männedorf;ZH;261
03;156;Meilen;ZH;261
03;157;Oetwil am See;ZH;261
03;158;Stäfa;ZH;261
03;159;Uetikon am See;ZH;261
03;160;Zumikon;ZH;261
03;161;Zollikon;ZH;261
03;172;Fehraltorf;ZH;261
03;173;Hittnau;ZH;121
03;176;Lindau;ZH;261
03;177;Pfäffikon;ZH;121
03;178;Russikon;ZH;261
03;180;Weisslingen;ZH;
03;181;Wila;ZH;
03;182;Wildberg;ZH;
03;191;Dübendorf;ZH;261
03;192;Egg;ZH;261
03;193;Fällanden;ZH;261
03;194;Greifensee;ZH;261
03;195;Maur;ZH;261
03;196;Mönchaltorf;ZH;261
03;197;Schwerzenbach;ZH;261
03;198;Uster;ZH;261
03;199;Volketswil;ZH;261
03;200;Wangen-Brüttisellen;ZH;261
03;211;Altikon;ZH;
03;213;Brütten;ZH;261
03;214;Dägerlen;ZH;
03;215;Dättlikon;ZH;230
03;216;Dinhard;ZH;230
03;218;Ellikon an der Thur;ZH;
03;219;Elsau;ZH;230
03;220;Hagenbuch;ZH;
03;221;Hettlingen;ZH;230
03;223;Neftenbach;ZH;230
03;224;Pfungen;ZH;230
03;225;Rickenbach (ZH);ZH;230
03;226;Schlatt (ZH);ZH;
03;227;Seuzach;ZH;230
03;228;Turbenthal;ZH;
03;230;Winterthur;ZH;230
03;231;Zell (ZH);ZH;230
03;241;Aesch (ZH);ZH;261
